DEPTH	SP	GR	CALI	BitSize	LL8	ILM	ILD	RHOB	NPHI	DT	PHIX	RHOMAT	MBVI	MPHI
4016	-27.625	82.514	10.663	10	0.794	0.817	0.828	2.233	0.424	40	0.3585291	2.866253	-999.25	-999.25
4016.5	-26.313	84.9005	10.8247	10	0.851	0.8148	0.8228	2.2185	0.407805	40	0.3659688	2.864109	-999.25	-999.25
4017	-26.938	83.288	10.733	10	0.846	0.814	0.822	2.216	0.41258	40	0.3640735	2.85492	-999.25	-999.25
4017.5	-25.5213	83.4082	10.7062	10	0.801	0.8132	0.8233	2.2223	0.445385	40	0.3650992	2.867678	-999.25	-999.25
4018	-25.313	84.799	10.772	10	0.776	0.814	0.83	2.224	0.45706	40	0.3647771	2.869458	-999.25	-999.25
4018.5	-25.2192	86.3977	10.647	10	0.8037	0.8192	0.8387	2.2233	0.461623	40	0.3651778	2.869472	-999.25	-999.25
4019	-24.75	85.281	10.547	10	0.802	0.825	0.842	2.215	0.46099	40	0.3665706	2.860259	-999.25	-999.25
4019.5	-24.9167	80.0692	10.5383	10	0.7992	0.8387	0.8523	2.205	0.435918	40	0.3678197	2.847919	-999.25	-999.25
4020	-26.375	79.64	10.54	10	0.795	0.852	0.864	2.205	0.44726	40	0.368295	2.849234	-999.25	-999.25
4020.5	-28.0005	80.32	10.6425	10	0.8552	0.8733	0.8645	2.1827	0.409423	40	0.370445	2.819786	-999.25	-999.25
4021	-28.938	82.35	10.74	10	0.961	0.885	0.862	2.176	0.40529	40	0.3718182	2.81288	-999.25	-999.25
4021.5	-29.573	82.1213	10.5483	10	0.9547	0.8847	0.8577	2.1857	0.399048	40	0.3699422	2.823175	-999.25	-999.25
4022	-29.938	85.378	10.515	10	0.883	0.873	0.851	2.209	0.44219	40	0.3675241	2.853427	-999.25	-999.25
4022.5	-28.4797	86.6962	10.6002	10	0.7758	0.8438	0.843	2.2333	0.434557	40	0.3588751	2.867674	-999.25	-999.25
4023	-28.688	88.377	10.756	10	0.755	0.823	0.833	2.245	0.43869	40	0.3543922	2.873523	-999.25	-999.25
4023.5	-28.4688	86.1917	10.8542	10	0.7692	0.7985	0.8102	2.2442	0.423467	40	0.3579461	2.882093	-999.25	-999.25
4024	-27.688	88.4	10.86	10	0.765	0.786	0.796	2.24	0.4497	40	0.3547977	2.866888	-999.25	-999.25
4024.5	-28.4272	88.4377	11.0265	10	0.7638	0.7748	0.7837	2.2333	0.429428	40	0.358717	2.867238	-999.25	-999.25
4025	-28.063	86.701	10.974	10	0.758	0.769	0.777	2.23	0.43807	40	0.3593077	2.863717	-999.25	-999.25
4025.5	-27.7505	83.2333	10.839	10	0.7537	0.7662	0.7728	2.2288	0.417667	40	0.3592493	2.861684	-999.25	-999.25
4026	-28.063	82.11	10.854	10	0.747	0.767	0.772	2.228	0.4216	40	0.3590554	2.859902	-999.25	-999.25
4026.5	-27.1047	82.6112	11.006	10	0.7292	0.7717	0.7728	2.2373	0.414062	40	0.3584565	2.872756	-999.25	-999.25
4027	-26.688	82.477	10.896	10	0.765	0.775	0.772	2.244	0.40382	40	0.3543882	2.871963	-999.25	-999.25
4027.5	-26.8125	84.1992	10.845	10	0.7538	0.7782	0.772	2.2485	0.418917	40	0.3578225	2.888446	-999.25	-999.25
4028	-25.875	87.4	10.87	10	0.768	0.779	0.772	2.241	0.4053	40	0.3547783	2.868384	-999.25	-999.25
4028.5	-27.2192	90.0282	10.9457	10	0.743	0.7777	0.7738	2.2438	0.435087	40	0.3579472	2.881473	-999.25	-999.25
4029	-26.125	91.919	11.149	10	0.753	0.776	0.773	2.238	0.42722	40	0.358298	2.873409	-999.25	-999.25
4029.5	-26.8647	92.3898	10.6817	10	0.749	0.7735	0.7703	2.2418	0.442165	40	0.3547412	2.869523	-999.25	-999.25
4030	-27.438	93.324	10.66	10	0.764	0.771	0.767	2.231	0.42009	40	0.3589204	2.864212	-999.25	-999.25
4030.5	-27.323	87.6238	10.6573	10	0.7412	0.7662	0.7635	2.23	0.40743	40	0.3567025	2.856574	-999.25	-999.25
4031	-28.313	85.523	10.709	10	0.732	0.762	0.761	2.225	0.38643	40	0.3560957	2.847154	-999.25	-999.25
4031.5	-27.9688	83.9093	10.6998	10	0.7185	0.7572	0.7563	2.2245	0.403775	40	0.3645159	2.869517	-999.25	-999.25
4032	-28.438	88.156	10.654	10	0.721	0.753	0.753	2.222	0.42065	40	0.3637298	2.863402	-999.25	-999.25
4032.5	-28.3233	87.889	10.6193	10	0.7193	0.7495	0.7487	2.2265	0.433077	40	0.3595267	2.858856	-999.25	-999.25
4033	-28.375	93.564	10.591	10	0.721	0.747	0.747	2.229	0.44741	40	0.3570115	2.855864	-999.25	-999.25
